OrganisasjonsNummer;BrregNavn;AntallAnsatte;Kode;Kode;Slettedato;Konkurs
818780672;Bv Bygg AS;24;41.200;AS;;False
819558752;BY NORWEGIANS AS;0;47.789;AS;;False
811573582;BY1BIL AS;0;45.320;AS;;False
818679262;BYGG & EIENDOM VEST AS;15;41.200;AS;;False
819132992;BYGG OG BRANNTEKNIKK AS;1;71.121;AS;;False
820489462;BYGGLUND AS;6;41.200;AS;;False
813226642;Byggmester Gunnar Breivik AS;1;41.200;AS;;False
813771462;BYGGMESTERAN HOLDING AS;0;68.209;AS;;False
813181282;BYGGSØK NORGE AS;2;71.121;AS;;False
822667422;BYGGTJENESTER HADELAND AS;1;41.200;AS;;False
816163072;BØLJAN BLÅ AS;0;41.200;AS;;False
812439502;Båtkalesjer AS;0;13.929;AS;;True
818576552;C SPESIALIST AS;1;86.211;AS;;False
812387502;Cafe C Stavanger AS;0;56.309;AS;;False
822810152;CAMALETRI EIENDOM AS;0;68.209;AS;;False
819748462;CAMAR HOLDING AS;0;68.209;AS;;False
811550582;CAMPUS 4 AS;0;68.209;AS;;False
812306782;CAMPUS 6 AS;0;41.109;AS;;False
812980262;CAMPUS 7 AS;0;41.109;AS;;False
815714512;CARDINOR AS;6;71.129;AS;;False
813049902;CARTER HOLDING AS;0;00.000;AS;;False
822538452;Cathrines Alternativ AS;3;96.090;AS;;False
821009812;CAV 51 AS;0;68.209;AS;;False
818095732;CFPH AS;0;88.101;AS;;False
822723802;CIVIL GROUP AS;0;70.220;AS;;False
822941222;CIVIL MANAGEMENT AS;6;71.121;AS;;False
818428812;CLAN AS;8;47.710;AS;;False
822123562;CLAQ AS;0;69.203;AS;;False
822880312;CLAY FILLER UTLEIE PÅL-EIRIK SEDOLFSEN;0;68.209;ENK;;False
816480922;CLEAR INK AS;0;86.909;AS;;False
817456332;Cloud Investments AS;0;62.020;AS;;False
818577672;COLLECTIVE AS;3;82.300;AS;;False
820479572;COMPETE CONSULTING GROUP AS;0;70.220;AS;;False
813666782;CONFURA AS;1;71.129;AS;;False
813279312;CONTINUUM MANAGEMENT AS;7;68.320;AS;;False
819943702;CONVERT EIENDOM AS;0;68.209;AS;;False
821090822;COWORX MANDAL AS;0;68.209;AS;;False
823187912;CREATIVE HEADS AS;8;73.110;AS;;False
815062582;CREATIVE MILL AS;16;73.110;AS;;False
816148812;CREATOR MAKERSPACE AS;2;72.190;AS;;False
816666392;Credeva Development AS;0;68.209;AS;;False
821058872;CRO EIENDOM AS;0;68.209;AS;;False
822835872;D-LIGHT AS;0;47.990;AS;;False
812168142;DALE CAPITAL AS;1;70.220;AS;;False
816494532;DALSMARKEN;0;82.300;FLI;;False
823131542;DANIEL PLURA SNEKKERSERVICE AS;1;41.200;AS;;False
811927392;DANIELSEN EL-SUPORT V/JARLE BERNT DANIELSEN;0;71.129;ENK;;False
821756162;Deif Norge AS;10;46.180;AS;;False
813424282;DENARIUS RINGSRUD;0;82.990;ENK;;False
819218862;DESIRED OUTCOME HOLDING AS;0;85.599;AS;;False
822375952;Det Glutenfrie Verksted AS;3;46.769;AS;;False
